,rank,disr,diss,dior,dios,diar,tots,rank,disr,diss,dior,dios,diar,tots,label
0,682.2,0.0,0.0,3.35,1.6,0.0,1.6,324.68488367063003,0.0,0.0,2.1095023109728985,0.8825799501580878,0.0,0.8825799501580878,0.0
1,668.0,0.0,0.0,2.05,0.95,0.0,0.95,311.97941902429534,0.0,0.0,1.3945382182304158,0.7591546545162482,0.0,0.7591546545162482,0.0
2,669.4,0.0,0.0,1.9,1.15,0.0,1.15,310.85694797649796,0.0,0.0,1.2937094768634556,0.6708203932499369,0.0,0.6708203932499369,0.0
3,669.15,0.0,0.0,1.2,0.75,0.0,0.75,312.53854920128185,0.0,0.0,1.3218806379747876,0.6386663736585051,0.0,0.6386663736585051,0.0
4,667.5,0.0,0.0,0.75,0.55,0.0,0.55,312.81615586222694,0.0,0.0,0.7163503994113789,0.6048053188292994,0.0,0.6048053188292994,0.0
5,667.9,0.0,0.0,1.45,0.7,0.0,0.7,312.6497788429192,0.0,0.0,1.3168942730211068,0.8013147091860318,0.0,0.8013147091860318,0.0
6,665.65,0.0,0.0,2.0,0.85,0.0,0.85,310.73974133043436,0.0,0.0,1.4509525002200232,0.8750939799154206,0.0,0.8750939799154206,0.0
7,666.8,0.0,0.0,0.7,0.5,0.0,0.5,309.73105481334846,0.0,0.0,0.8645047258706176,0.6069769786668839,0.0,0.6069769786668839,0.0
8,665.8,0.0,0.0,0.2,0.25,0.0,0.25,310.3918745545277,0.0,0.0,0.4103913408340617,0.4442616583193193,0.0,0.4442616583193193,0.0
9,665.05,0.0,0.0,0.3,0.25,0.0,0.25,311.6714658604136,0.0,0.0,0.4701623459816272,0.4442616583193193,0.0,0.4442616583193193,0.0
10,665.25,0.0,0.0,0.25,0.25,0.0,0.25,311.81588275269445,0.0,0.0,0.5501196042201808,0.4442616583193193,0.0,0.4442616583193193,0.0
11,665.65,0.0,0.0,0.4,0.25,0.0,0.25,311.5075862893061,0.0,0.0,0.7539370349250519,0.4442616583193193,0.0,0.4442616583193193,0.0
12,665.25,0.0,0.0,1.0,0.6,0.0,0.6,310.8526262767582,0.0,0.0,0.9733285267845752,0.5982430416161189,0.0,0.5982430416161189,0.0
13,659.6315789473684,0.0,0.0,1.2105263157894737,0.7368421052631579,0.0,0.7368421052631579,317.9851866791414,0.0,0.0,1.134261745631201,0.8719139396343282,0.0,0.8719139396343282,0.0
