,rank,disr,diss,dior,dios,diar,tots,rank,disr,diss,dior,dios,diar,tots,label
0,504.2,0.0,0.0,3.3,1.2,0.4,1.2,225.3588742921437,0.0,0.0,3.683295625749672,0.7888106377466155,0.8432740427115679,0.7888106377466155,0.0
1,490.5,0.0,0.0,1.6,1.3,0.0,1.3,216.95019909852329,0.0,0.0,1.2649110640673518,0.8232726023485646,0.0,0.8232726023485646,0.0
2,481.9,0.0,0.0,1.1,0.9,0.0,0.9,210.82981551742418,0.0,0.0,0.7378647873726218,0.5676462121975466,0.0,0.5676462121975466,0.0
3,478.4,0.0,0.0,0.8,0.3,0.0,0.3,206.48712631380516,0.0,0.0,0.9189365834726815,0.4830458915396479,0.0,0.4830458915396479,0.0
4,477.1,0.0,0.0,0.2,0.1,0.0,0.1,204.76297950991477,0.0,0.0,0.42163702135578396,0.31622776601683794,0.0,0.31622776601683794,0.0
5,476.2,0.0,0.0,0.9,0.4,0.0,0.4,203.2867706249256,0.0,0.0,1.1005049346146119,0.6992058987801011,0.0,0.6992058987801011,0.0
6,441.44444444444446,0.0,0.0,1.1111111111111112,0.6666666666666666,0.0,0.6666666666666666,183.3978674297435,0.0,0.0,0.33333333333333337,0.5,0.0,0.5,0.0
7,500.8181818181818,0.0,0.0,0.36363636363636365,0.2727272727272727,0.0,0.2727272727272727,210.6099799068497,0.0,0.0,0.6741998624632419,0.46709936649691375,0.0,0.46709936649691375,0.0
8,473.6,0.0,0.0,0.0,0.0,0.0,0.0,200.5787182684699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,473.6,0.0,0.0,0.0,0.0,0.0,0.0,200.5787182684699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,474.6,0.0,0.0,0.0,0.0,0.0,0.0,199.39475085033374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,474.2,0.0,0.0,0.0,0.0,0.0,0.0,199.86317541980785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,475.3,0.0,0.0,0.0,0.1,0.0,0.1,198.591736428729,0.0,0.0,0.0,0.31622776601683794,0.0,0.31622776601683794,0.0
13,477.9,0.0,0.0,0.9,0.3,0.0,0.3,197.46811275635255,0.0,0.0,0.8755950357709134,0.4830458915396479,0.0,0.4830458915396479,0.0
14,476.1,0.0,0.0,0.9,0.7,0.0,0.7,198.6132198800249,0.0,0.0,1.4491376746189437,0.8232726023485646,0.0,0.8232726023485646,0.0
15,475.1,0.0,0.0,0.6,0.4,0.0,0.4,199.5051934718047,0.0,0.0,0.6992058987801011,0.5163977794943222,0.0,0.5163977794943222,0.0
16,478.0,0.0,0.0,0.4,0.2,0.0,0.2,203.60473690189255,0.0,0.0,0.6992058987801011,0.42163702135578396,0.0,0.42163702135578396,0.0
17,476.4,0.0,0.0,0.1,0.1,0.0,0.1,202.79721672427144,0.0,0.0,0.31622776601683794,0.31622776601683794,0.0,0.31622776601683794,0.0
18,475.8,0.0,0.0,0.0,0.0,0.0,0.0,202.35985548302588,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,474.9,0.0,0.0,0.0,0.0,0.0,0.0,202.0046479113235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,474.7,0.0,0.0,0.0,0.0,0.0,0.0,201.67413209322498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,474.5,0.0,0.0,0.0,0.0,0.0,0.0,201.34506036487048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,441.44444444444446,0.0,0.0,0.0,0.0,0.0,0.0,182.52336227940188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,474.1,0.0,0.0,0.0,0.0,0.0,0.0,200.6912775605579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,474.1,0.0,0.0,0.0,0.0,0.0,0.0,200.6912775605579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,474.1,0.0,0.0,0.1,0.2,0.0,0.2,200.6912775605579,0.0,0.0,0.31622776601683794,0.42163702135578396,0.0,0.42163702135578396,0.0
26,474.1,0.0,0.0,0.2,0.1,0.1,0.3,200.6912775605579,0.0,0.0,0.42163702135578396,0.31622776601683794,0.31622776601683794,0.6749485577105528,0.0
27,475.3,0.0,0.0,0.2,0.2,0.6,0.7,199.2731514501863,0.0,0.0,0.42163702135578396,0.42163702135578396,0.9660917830792958,0.674948557710553,0.0
28,475.9,0.0,0.0,0.4,0.3,1.0,0.6,199.10323955174613,0.0,0.0,0.6992058987801011,0.4830458915396479,1.4142135623730951,0.5163977794943223,0.0
29,473.9,0.0,0.0,0.3,0.3,0.0,0.3,200.6447662467731,0.0,0.0,0.4830458915396479,0.4830458915396479,0.0,0.4830458915396479,0.0
